Track Name,Artist,Density,Multi,Signatures,Syll.
How I Met My Ex,Dave,65.0,11.8,237,2005
Peligro,Dave,53.0,28.7,113,394
Nothing On You (feat. Paulo Londra & Dave),Dave,30.9,33.1,46,139
Paper Cuts,Dave,63.7,21.3,130,611
Children Of The Internet - Ezra Collective Remix,Dave,44.7,22.8,132,579
My 19th Birthday,Dave,67.4,11.9,244,2059
Fresh Out The Bank (feat. Dave),Dave,55.7,28.9,83,287
18HUNNA (feat. Dave),Dave,45.5,33.1,85,257
Mercury,Dave,60.8,16.4,168,1025
Straight Murder (Giggs & David) [feat. Dave],Dave,58.5,22.2,146,658
Picture Me,Dave,64.3,14.9,187,1256
Playing For Keeps,Dave,42.7,44.4,52,117
God's Eye,Dave,56.3,18.7,169,906
100M's,Dave,66.6,16.6,106,637
Wanna Know,Dave,67.7,13.6,128,939
California Love - Original Version,2Pac,53.2,26.0,106,408
Ambitionz Az A Ridah,2Pac,62.8,12.8,165,1292
Do For Love,2Pac,67.8,14.1,126,892
Dear Mama,2Pac,83.3,13.9,15,108
All Eyez On Me (ft. Big Syke),2Pac,61.7,13.9,141,1018
Changes,2Pac,64.8,17.3,146,842
Keep Ya Head Up,2Pac,63.3,17.1,160,937
Ghetto Gospel,2Pac,75.6,20.7,28,135
2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dogg),2Pac,57.4,15.8,123,777
So Many Tears,2Pac,58.1,17.5,137,781
I Get Around,2Pac,65.8,18.6,105,564
Lil' Homies,2Pac,59.9,14.7,135,916
How Do U Want It (ft. K-Ci & JoJo),2Pac,57.5,19.5,151,774
Hail Mary,2Pac,58.0,19.7,145,735
Thugz Mansion - 7 Remix,2Pac,58.1,19.0,158,831
Me Against The World,2Pac,58.5,16.1,117,727
Can't C Me,2Pac,65.1,17.7,157,885
Runnin' (Dying To Live),2Pac,44.1,28.1,86,306
Still Ballin' - Nitty Remix,2Pac,59.4,20.1,99,493
Breathin,2Pac,59.9,11.8,74,628
Only God Can Judge Me (ft. Rappin' 4-Tay),2Pac,64.4,14.9,138,924
Thug Luv (feat. 2pac),2Pac,56.5,24.6,99,402
Better Dayz,2Pac,59.6,17.8,142,799
Loyal To The Game,2Pac,56.1,15.0,223,1485
Deadly Combination (feat. 2Pac),2Pac,50.7,26.5,100,377
Troublesome '96,2Pac,36.0,27.0,27,100
Soon As I Get Home,2Pac,59.2,21.8,126,579
Until The End Of Time,2Pac,55.1,23.2,138,594
Smile,2Pac,53.5,25.0,140,559
To Live & Die In L.A.,2Pac,59.6,17.6,169,962
Old School,2Pac,54.1,18.4,145,788
Letter 2 My Unborn,2Pac,64.9,18.5,163,881
When We Ride On Our Enemies - Briss Remix,2Pac,62.3,18.6,107,575
Unconditional Love,2Pac,63.5,13.8,142,1030
Temptations,2Pac,62.3,16.1,129,803
Playa Cardz Right,2Pac,61.5,18.6,110,592
Pac's Life,2Pac,59.4,17.5,113,646
It Ain't Easy,2Pac,61.9,15.5,159,1024
Soldier Like Me,2Pac,62.3,14.1,131,928
Unchained (The Payback / Untouchable),2Pac,66.5,18.1,56,310
They Don't Give A F**** About Us,2Pac,61.0,17.6,111,630
Hellrazor,2Pac,59.6,17.7,165,933
Hennessey,2Pac,61.4,16.1,115,715
Pain,2Pac,53.5,22.4,116,518
"Biggie/Tupac Live Freestyle (Funkmaster Flex & Big Kap Feat. DJ Mister Cee, Notorious B.I.G & Tupac)",2Pac,64.2,3.9,560,14425
Open Fire,2Pac,58.5,20.2,141,699
Ballad Of A Dead Soulja,2Pac,80.0,13.3,28,210
Fame,2Pac,57.8,19.3,91,472
All The Stars (with SZA),Kendrick Lamar,59.7,19.4,66,340
LOVE. FEAT. ZACARI.,Kendrick Lamar,43.5,20.8,79,379
Swimming Pools (Drank),Kendrick Lamar,51.6,19.3,120,622
Alright,Kendrick Lamar,59.5,19.5,140,718
N95,Kendrick Lamar,41.8,27.5,50,182
HUMBLE.,Kendrick Lamar,70.0,15.6,113,724
family ties (with Kendrick Lamar),Kendrick Lamar,57.8,19.4,112,576
Money Trees,Kendrick Lamar,71.0,12.0,112,935
Rich Spirit,Kendrick Lamar,59.8,18.3,139,759
PRIDE.,Kendrick Lamar,60.5,20.1,123,612
Stay Ready (What A Life),Kendrick Lamar,61.1,24.6,103,419
Bad Blood (feat. Kendrick Lamar) (Taylor's Version),Kendrick Lamar,76.1,15.6,86,552
Die Hard,Kendrick Lamar,49.8,29.4,88,299
DNA.,Kendrick Lamar,47.6,27.0,34,126
Don't Wanna Know (feat. Kendrick Lamar),Kendrick Lamar,48.3,43.7,38,87
King Kunta,Kendrick Lamar,64.9,13.0,119,917
Count Me Out,Kendrick Lamar,69.5,15.3,170,1113
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",Kendrick Lamar,35.2,37.0,60,162
Pray For Me,Kendrick Lamar,43.2,36.2,88,243
Collard Greens,Kendrick Lamar,51.4,31.8,68,214
United In Grief,Kendrick Lamar,55.6,17.9,164,914
A.D.H.D,Kendrick Lamar,61.6,17.9,131,730
DUCKWORTH.,Kendrick Lamar,51.1,17.1,198,1160
Sidewalks,Kendrick Lamar,49.6,30.9,81,262
Wesley's Theory,Kendrick Lamar,54.7,21.3,131,616
Father Time (feat. Sampha),Kendrick Lamar,54.6,21.5,155,722
"Bitch, Don’t Kill My Vibe",Kendrick Lamar,68.5,13.3,127,955
Doves In The Wind (feat. Kendrick Lamar),Kendrick Lamar,48.4,27.5,79,287
Poetic Justice,Kendrick Lamar,68.0,13.7,114,831
i,Kendrick Lamar,36.0,38.4,63,164
The Greatest (feat. Kendrick Lamar),Kendrick Lamar,46.8,33.1,41,124
HUMBLE. - SKRILLEX REMIX,Kendrick Lamar,64.2,20.2,111,550
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),Kendrick Lamar,70.4,16.3,87,533
Hair Down,Kendrick Lamar,50.4,27.0,69,256
The Hillbillies,Kendrick Lamar,66.3,18.7,129,689
